Date,Volume
2001-05-02,1342200000
2001-05-03,1137900000
2001-05-04,1082100000
2001-05-07,949000000
2001-05-08,1006300000
2001-05-09,1132400000
2001-05-10,1056700000
2001-05-11,906200000
2001-05-14,858200000
2001-05-15,1071800000
2001-05-16,1405300000
2001-05-17,1355600000
2001-05-18,1130800000
2001-05-21,1174900000
2001-05-22,1260400000
2001-05-23,1134800000
2001-05-24,1100700000
2001-05-25,828100000
2001-05-29,1026000000
2001-05-30,1158600000
2001-05-31,1226600000
2001-06-01,1015000000
2001-06-04,836500000
2001-06-05,1116800000
2001-06-06,1061900000
2001-06-07,1089600000
2001-06-08,726200000
2001-06-11,870100000
2001-06-12,1136500000
2001-06-13,1063600000
2001-06-14,1242900000
2001-06-15,1635550000
2001-06-18,1111600000
2001-06-19,1184900000
2001-06-20,1350100000
2001-06-21,1546820000
2001-06-22,1189200000
2001-06-25,1050100000
2001-06-26,1198900000
2001-06-27,1162100000
2001-06-28,1327300000
2001-06-29,1832360000
2001-07-02,1128300000
2001-07-03,622110000
2001-07-05,934900000
2001-07-06,1056700000
2001-07-09,1045700000
2001-07-10,1263800000
2001-07-11,1384100000
2001-07-12,1394000000
2001-07-13,1121700000
2001-07-16,1039800000
2001-07-17,1238100000
2001-07-18,1316300000
2001-07-19,1343500000
2001-07-20,1170900000
2001-07-23,986900000
2001-07-24,1198700000
2001-07-25,1280700000
2001-07-26,1213900000
2001-07-27,1015300000
2001-07-30,909100000
2001-07-31,1129200000
2001-08-01,1340300000
2001-08-02,1218300000
2001-08-03,939900000
2001-08-06,811700000
2001-08-07,1012000000
2001-08-08,1124600000
2001-08-09,1104200000
2001-08-10,960900000
2001-08-13,837600000
2001-08-14,964600000
2001-08-15,1065600000
2001-08-16,1055400000
2001-08-17,974300000
2001-08-20,897100000
2001-08-21,1041600000
2001-08-22,1110800000
2001-08-23,986200000
2001-08-24,1043600000
2001-08-27,842600000
2001-08-28,987100000
2001-08-29,963700000
2001-08-30,1157000000
2001-08-31,920100000
2001-09-04,1178300000
2001-09-05,1384500000
2001-09-06,1359700000
2001-09-07,1424300000
2001-09-10,1276600000
2001-09-17,2330830000
2001-09-18,1650410000
2001-09-19,2120550000
2001-09-20,2004800000
2001-09-21,2317300000
2001-09-24,1746600000
2001-09-25,1613800000
2001-09-26,1519100000
2001-09-27,1467000000
2001-09-28,1631500000
2001-10-01,1175600000
2001-10-02,1289800000
2001-10-03,1650600000
2001-10-04,1609100000
2001-10-05,1301700000
2001-10-08,979000000
2001-10-09,1227800000
2001-10-10,1312400000
2001-10-11,1704580000
2001-10-12,1331400000
2001-10-15,1024700000
2001-10-16,1210500000
2001-10-17,1452200000
2001-10-18,1262900000
2001-10-19,1294900000
2001-10-22,1105700000
